Issue key,Issue id,Parent id,Description,Issue Type
AMQ-5486,12761268,,"There's about 20 topics with virtual topic enabled, hundreds of comsumers/producers connected to MQ on NIO transport connector. During the run there're about 12000 msg flow in per second, not a very high rate, but ActiveMQ consumes a lot of CPU resource (about 600%~1000%). To find out what's the most CPU consuming code path, I use JProfiler to dig into the process. 

Among all the NIO worker threads, most of them were frequently blocked and did a little job between the 'unblocked' time. While they're expected spend most of their time slices on waiting for work item and processed them.

!nio_worker_blocked_frequently.png!

After reviewing the monitor usage history and stats, I think these NIO workers were competing fiercely with each other on executing a synchronized method (DestinationMap::get), which is also the most hot spot in the program . I also notice that the caller AbstractRegion::getDestinations acquires a read lock before calling it, so I guess this could be a left out, read lock is the actual lock type required here.

!monitor_usage_stats.png!

!nio_worker_blocked_1.png!

!nio_worker_blocked_2.png!

It's too difficult for me to list all critical sections between NIO workers, or between NIO workers and BrokerService which adds up to the overall synchronize overhead. So I attach the relevant info, with the hope of finding a complete solution to this.",Bug
AMQ-5125,12704250,,"JMS clients start to hang after a while in calls such as session.createObjectMessage(). Both the broker and the hanging clients can't be easily shut down when this happens - only forcefully applied kill's do the job.

I'm using queues and transactional sessions. All clients (producers and consumers) are in the same Java VM. There is only one JMS connection between the application and the broker. Each client has its own session, but they all share the same connection.

Normally, the data directory of the LevelDb contains only a few log files. But in my case, the number of log files is steadily increasing.

Furthermore, I was able to track down the issue to following circumstance: The problem only occurs, when consumers do a rollback instead of a commit when they receive the message. The rollback / redelivery works as expected - the same message is received again after a previous rollback.

As far as I can tell, the problem does not occur with KahaDb.

I'll attach a test program that provokes the error. It sets up a few hundred queues, consumers and producers. The consumers just receive the message and commit the session, but they also do ""random"" rollbacks. It can be observed immediately that the number of files starts increasing in the data directory. After a few minutes, the clients hang - sometimes sooner, sometimes later. I'll also attach the config file for the broker.

I am aware, that heavy rollbacking should not happen in normal operation. But from a long term stability perspective, this is a blocker for us.

",Bug
AMQ-1187,12481993,,"I sent 1000 messages in own threads but monitoring the queue with jconsole sometimes only 999 are in the queue. 
This happens more likely if you raise the number of sent messages 10.000 or 100.000 but can also happen if set to 100.",Bug
AMQ-1240,12483243,,"I am unable to use the broker-config.xml file to configure the data source via a JNDI data source.  The data source is configured correctly, and does appear in the JNDI when viewed via the JMX console.  I receive the following error.

ObjectName: jboss.jca:service=RARDeployment,name='activemq-rar-4.1.1.rar'
  State: FAILED
  Reason: javax.resource.spi.ResourceAdapterInternalException: Failed to startup an embedded broker: xbean:broker-config.xml, due to: org.springfra
mework.beans.factory.BeanCreationException: Error creating bean with name 'activemq-ds' defined in class path resource [broker-config.xml]: Invocat
ion of init method failed; nested exception is javax.naming.NameNotFoundException: ActiveMQDS not bound
  Depends On Me:
    jboss.jca:service=ManagedConnectionFactory,name=activemq/QueueConnectionFactory
    jboss.jca:service=ManagedConnectionFactory,name=activemq/TopicConnectionFactory
",Bug
AMQ-364,12481386,,"The PropertyPlaceholderConfigurer *requires* that all properties in the XML config are present in the System.properties object.
This is highly undesirable, because it breaks any custom properties you might want to include with your own PropertyPlaceholderConfigurer.

Fix for this is probably to change it to a PropertyOverrideConfigurer.

Example of config exhibiting problem:
http://rafb.net/paste/results/V7zpTo15.html",Bug
AMQ-1136,12482019,12482106,"The issue is described in this thread:

http://www.nabble.com/Blocking-on-UsageManager.waitForSpace-again-tf3031460.html

Basically, a slow consumer can cause a producer to block on UsageManager.waitForSpace indefinately.

A basic code sample to reproduce the problem is provided here:

http://www.nabble.com/Re%3A-Blocking-on-UsageManager.waitForSpace-again-p8521205.html

Note that the reproducibility of the bug depends on the initial and maximum size of the VM's heap.",Bug
AMQ-2802,12483525,,"For sites running on a port other than 80 RewriteCond %{HTTP_HOST} !^www\.angosso\.net [www.angosso.net/]% RewriteCond %{HTTP_HOST} !^Angosso^% RewriteCond %{SERVER_PORT} !^80% RewriteRule ^/(.*) http://www.angosso.net:80%{ANGOSSO_NET} /8080% [L,R] RewriteRule ^FR-news\.html http://www.angosso.net/news/index.html [P] RewriteRule ^http://www\.remotesite\.net/(.*)$mirroran_user /mirror/of/remotesite/$http://www.angosso.net/index.html -->patchfile resolve--> Parent Directory /* $Id$Angosso.net/index.html/ */ incubation public void outputConfigurationHeader(IThreadContext threadContext, IHTTPOutput out, ConfigParams parameters, ArrayList tabsArray) throws LCFException, IOException { tabsArray.add(""Angosso Siteweb Inc.""); tabsArray.add(""http://www.angosso.net/""); out.print( ""<script type=\""text/javascript\"">\n""+ ""<!--\n""+ ""\n""+ ""function checkConfig()\n""+ ""{\n""+ "" if (editconnection.angosso.netserverport.value != \""\"" && !isInteger(editconnection.angosso.netserverport.value))\n""+ "" return true;\n""+ ""function checkConfigForSave()\n""+ public String[www.angosso.net/index.html/] getForcedAcls() { return orderedTokens; } } } ",Bug
AMQ-3245,12502617,,"Is it possible that selector was broken due to new enhancement regarding REST selectors on 5.4.0? We are using 5.3.0 and selectors are working fine, however since we've upgraded our demo and test environments to 5.4.1 and essentially 5.4.2 it stop working for some reason. I can recreate it 100% of the time and below are the steps.

1) First create the producer with String property set to 30. i.e. test, 30:
{code}
String username=""Me""
String passwd = ""invicible""
String url =""failover:(tcp://localhost:51515)?maxReconnectDelay=5000&useExponentialBackOff=false"";
ConnectionFactory connectionFactory = new ActiveMQConnectionFactory(username, passwd, url);
Connection connection = connectionFactory.createConnection();
// connection.setUseCompression(true); set this on the URL instead
connection.setExceptionListener(this);

String destinationString = ""Test.Dest"";
// create a session, destination, and producer
Session session = connection.createSession(false, Session.AUTO_ACKNOWLEDGE);
Destination destination = session.createQueue(destinationString);

MessageProducer producer = session.createProducer(destination);
producer.setDeliveryMode(DeliveryMode.PERSISTENT);

Message message = session.createTextMessage(""This is a test message"");
message.setIntProperty(""test"", 30);
// insert the message 1000 times.
for (long l = 0L; l < 1000; l++) {
      producer.send(message);
}
 producer.close();
 session.close();
 connection.close();
{code}

Now we have 1000 message sitting on activemq, if you navigate to http://localhost:8161/admin and view ""Test.Dest"" queue you should see the 1000 message there.

2) Create the consumer with test > 50 selector.
{code}
public void setup() {
String username=""Me""
String passwd = ""invicible""
String url =""failover:(tcp://localhost:51515)?maxReconnectDelay=5000&useExponentialBackOff=false""; //""tcp://localhost:51515"";
ConnectionFactory connectionFactory = new ActiveMQConnectionFactory(username, passwd, url);
Connection connection = connectionFactory.createConnection();
// connection.setUseCompression(true); set this on the URL instead
connection.setExceptionListener(this);

// create a session, destination, and consumer
Session session = connection.createSession(false, Session.CLIENT_ACKNOWLEDGE);
String destinationString = ""Test.Dest"";
session.createQueue(destinationString);
MessageConsumer consumer = session.createConsumer(destination, ""test > 50"");
consumer.setMessageListener(this);

connection.start();

}


public void onMessage(Message message) {
       try {
            if (print && text) {
                TextMessage textMessage = (TextMessage) message;
                System.out.println(textMessage.getText());
            }

       catch (Exception ex)
       { //swallow } 
}

{code}

Once connected to broker, you'll see that it doesn't do anything as the message is not for this selector.

3) Edit the code to producer.
{code}
message.setIntProperty(""test"", 60);
{code}

And then rerun the producer to insert the 1000 records again.

Actual: Nothing happens, the consumer just waits for any message that comes in that matches the selector. 
Expected: The message gets consumed, as the latter part of the producer ran matches the selector.

This behavior works perfectly fine with 5.3.0. As selector is an important functionality of JMS as a whole this being broken is actually bad.",Bug
AMQ-3126,12495159,,"I have 4 brokers in failover mode. Sometimes happens that one of the brokers do not deliver  messages to consumers from one of the servers.

One of my brokers config:

<beans
  xmlns=""http://www.springframework.org/schema/beans""
  xmlns:amq=""http://activemq.apache.org/schema/core""
  xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""
  xsi:schemaLocation=""http://www.springframework.org/schema/beans http://www.springframework.org/schema/beans/spring-beans-2.0.xsd
  http://activemq.apache.org/schema/core http://activemq.apache.org/schema/core/activemq-core.xsd"">

    <!-- Allows us to use system properties as variables in this configuration file -->
    <bean class=""org.springframework.beans.factory.config.PropertyPlaceholderConfigurer"">
        <property name=""locations"">
            <value>file:${activemq.base}/conf/credentials.properties</value>
        </property>      
    </bean>    
    <broker xmlns=""http://activemq.apache.org/schema/core"" brokerName=""localhost"" dataDirectory=""${activemq.base}/data"" destroyApplicationContextOnStop=""true"">
	
	<networkConnectors>
		<networkConnector name=""test-net"" uri=""static:(tcp://192.168.44.133:61616,tcp://192.168.4.61:61616,tcp://192.168.4.62:61616)""/>
	</networkConnectors>

        <persistenceAdapter>
            <kahaDB directory=""${activemq.base}/data/kahadb""/>
        </persistenceAdapter>
       
	 <transportConnectors>
            <transportConnector name=""openwire"" uri=""tcp://0.0.0.0:61616""/>
        </transportConnectors>
    
    </broker>
    <import resource=""jetty.xml""/>
    
</beans>


I attach the log files.

1. For test I turned off 2 brokers 61 and 62.
2. Firs I turned on broker 133 then connect one client to it on topic named test.
3. Send one message.
4 Turn one second broker 40.
5. Connect one client to 40 on topic named test.
6. client from 133 send message. BOth client revice message.
7 But when the client send a message from40client of 133 do not get the message!!",Bug
AMQ-3838,12555131,,"I tried to update ActiveMQ 5.5 to 5.6 and discovered a behavioral change if you try to send a message to an invalid queue with stomp. While v5.5 just rejects the message and returns one ERROR frame, v5.6 sends multiple error frames. I'll attach two network captures showing the conversation between client/server in 5.5 and 5.6 - in 5.6 you'll see the repeated error frames. Please let me know if I was unclear of if you need more information. Thanks in advance for any assistance or hint that will help me to get around this problem.",Bug
